,id,uuid,category,muscles,muscles_secondary,equipment,license,license_author,images,exercises,variations
0,9,1b020b3a-3732-4c7e-92fd-a0cec90ed69b,"{'id': 10, 'name': 'Abs'}",[],[],"[{'id': 10, 'name': 'Kettlebell'}]","{'id': 2, 'full_name': 'Creative Commons Attribution Share Alike 4', 'short_name': 'CC-BY-SA 4', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.en'}",deusinvictus,[],"[{'id': 345, 'uuid': 'c788d643-150a-4ac7-97ef-84643c6419bf', 'name': '2 Handed Kettlebell Swing', 'description': '<p>Two Handed Russian Style Kettlebell swing</p>', 'creation_date': '2015-08-03', 'language': 2, 'license': 2, 'license_author': 'deusinvictus'}]",
1,12,53906cd1-61f1-4d56-ac60-e4fcc5824861,"{'id': 9, 'name': 'Legs'}","[{'id': 8, 'name': 'Gluteus maximus', 'is_front': False, 'image_url_main': '/static/images/muscles/main/muscle-8.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-8.svg'}, {'id': 6, 'name': 'Rectus abdominis', 'is_front': True, 'image_url_main': '/static/images/muscles/main/muscle-6.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-6.svg'}]","[{'id': 11, 'name': 'Biceps femoris', 'is_front': False, 'image_url_main': '/static/images/muscles/main/muscle-11.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-11.svg'}]",[],"{'id': 1, 'full_name': ' Creative Commons Attribution Share Alike 3', 'short_name': 'CC-BY-SA 3', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en'}",flori,[],"[{'id': 174, 'uuid': '99881bdd-43d7-4c3b-82ed-9c187d0455b7', 'name': 'Abduktoren-Maschine', 'description': '<ul>\n<li>in eine aufrechte Position setzen, bei der die Beine hüftbreit geöffnet sind</li>\n<li>den Rücken, die Knie und die Oberschenkelaußenseite an die jeweiligen Polster pressen</li>\n<li>mit den Händen an den Griffen festhalten</li>\n<li>die Oberschenkel bis zum Anschlagpunkt der Hebelarme auseinander drücken</li>\n<li>danach die Beine wieder zusammen führen</li>\n<li>das Gesäß nicht vom Sitz abheben</li>\n<li>beim Auseinanderdrücken der Hebelarme aus- und beim Zusammenführen einatmen</li>\n</ul>', 'creation_date': '2013-07-19', 'language': 1, 'license': 1, 'license_author': 'flori'}]",
2,13,49859097-644a-417a-8cb7-491b7d8bc383,"{'id': 9, 'name': 'Legs'}",[],[],[],"{'id': 1, 'full_name': ' Creative Commons Attribution Share Alike 3', 'short_name': 'CC-BY-SA 3', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en'}",Marius,[],"[{'id': 223, 'uuid': 'e56d0a17-b1b8-427d-991e-97c530c7db6a', 'name': 'Adduktoren Maschine', 'description': '<p>Oberschenkel Innenseite!</p>', 'creation_date': '2014-02-26', 'language': 1, 'license': 1, 'license_author': 'Marius'}]",
3,20,f24cb758-9c0d-42d4-ad9e-6025c527dd13,"{'id': 13, 'name': 'Shoulders'}",[],[],"[{'id': 3, 'name': 'Dumbbell'}]","{'id': 1, 'full_name': ' Creative Commons Attribution Share Alike 3', 'short_name': 'CC-BY-SA 3', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en'}",trzr23,[],"[{'id': 228, 'uuid': '880bff63-6798-4ffc-a818-b2a1ccfec0f7', 'name': 'Arnold Press', 'description': '<p>Zwei Kurzhanteln mit den Handflächen nach innen vor der Brust halten, Ellbogen unterhalb der Handgelenke.</p>\n<p>Ellbogen nach außen bringen und Hanteln über den Kopf heben. Drehung kommt aus dem Ellbogen, nicht aus den Armen!</p>\n<p>Wenn die Arme durchgestreckt sind, die gleiche Bewegung rückwärts ausführen.</p>', 'creation_date': '2014-03-09', 'language': 1, 'license': 3, 'license_author': 'bloody_disgrace'}, {'id': 227, 'uuid': '53ca25b3-61d9-4f72-bfdb-492b83484ff5', 'name': 'Arnold Shoulder Press', 'description': '<p>Very common shoulder exercise.</p>\n<p>\xa0</p>\n<p>As shown here:\xa0https://www.youtube.com/watch?v=vj2w851ZHRM</p>', 'creation_date': '2014-03-09', 'language': 2, 'license': 1, 'license_author': 'trzr23'}, {'id': 900, 'uuid': '9eb10e6a-97e1-46e1-b9ac-226bb25ca080', 'name': 'Dumbbell Overhead Press', 'description': '<p>Stand upright and keep the back straight.Hold a dumbbell in each hand at the shoulders with an overhand grip. Thumbs should be on the inside and knuckles facing up.Raise the weights above the head in a controlled motion.Pause at the top of the motion.Return the dumbbells to the shoulders.</p>', 'creation_date': '2021-06-07', 'language': 1, 'license': 2, 'license_author': 'M123'}, {'id': 901, 'uuid': '4b26f425-4d61-4cb7-83c6-739f037ba46e', 'name': 'Dumbbell Press Outs', 'description': '<p>Stand upright and keep your back straight.Hold a dumbbell in front of your chest with both hands.The palms should grip the bar and point to the sides.Lift the weights forward over your head in a controlled movement.Pause at the top of the movement.Return the dumbbells to the shoulders.</p>', 'creation_date': '2021-06-07', 'language': 2, 'license': 2, 'license_author': 'M123'}, {'id': 911, 'uuid': 'd721e53c-afc2-4535-b0ff-61e158dd25f9', 'name': 'Seitenheben', 'description': '<ol style="""">\n<li>Aufrechter Stand, Kopf nach vorne gerichtet, eine Kurzhantel in jeder Hand.</li>\n<li>Handflächen nach innen, in Richtung des Körpers, gerichtet.</li>\n<li>Hebe die Hanteln seitlich nach oben, ohne Schwung zu holen. Atme aus. Die Ellenbogen sind leicht gebeugt. Hebe die Kurzhanteln soweit, bis die Arme parallel zum Boden sind.</li>\n<li>Am obersten Punkt sollten deine Handflächen nach unten zeigen.</li>\n<li>Am höchsten Punkt hältst du für 1-2 Sekunden inne und ziehst deine Schulterblätter zusammen.</li>\n<li>Führe die Hanteln langsam wieder nach unten in die Ausgangsposition und atme ein.</li>\n</ol>', 'creation_date': '2021-06-29', 'language': 1, 'license': 2, 'license_author': 'M123'}, {'id': 943, 'uuid': 'd3208d49-5754-441d-979d-5f7df7ae80bf', 'name': 'Side Lying Abduction', 'description': '<p>Lie on side holding dumbell with straight arm on top side. With straight arm, lift dumbell to 45 degrees, then lower. Rotator cuff.</p>', 'creation_date': '2022-01-18', 'language': 2, 'license': 2, 'license_author': 'DOI: 10.1097/00005768-199910000-00001'}]",5.0
4,22,80d6017d-58a1-4061-8fa2-0d08b9886523,"{'id': 9, 'name': 'Legs'}","[{'id': 10, 'name': 'Quadriceps femoris', 'is_front': True, 'image_url_main': '/static/images/muscles/main/muscle-10.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-10.svg'}]","[{'id': 8, 'name': 'Gluteus maximus', 'is_front': False, 'image_url_main': '/static/images/muscles/main/muscle-8.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-8.svg'}]",[],"{'id': 2, 'full_name': 'Creative Commons Attribution Share Alike 4', 'short_name': 'CC-BY-SA 4', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.en'}",Tetsuhiko Asai,[],"[{'id': 353, 'uuid': '583281c7-2362-48e7-95d5-8fd6c455e0fb', 'name': 'Asai Squad', 'description': '<ol>\n<li>single leg sit and stand</li>\n</ol>', 'creation_date': '2015-10-22', 'language': 7, 'license': 2, 'license_author': 'Tetsuhiko Asai'}]",
5,25,1954e304-78e7-48eb-8112-8bb7ee06eae6,"{'id': 8, 'name': 'Arms'}","[{'id': 5, 'name': 'Triceps brachii', 'is_front': False, 'image_url_main': '/static/images/muscles/main/muscle-5.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-5.svg'}]",[],[],"{'id': 1, 'full_name': ' Creative Commons Attribution Share Alike 3', 'short_name': 'CC-BY-SA 3', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en'}",wger.de,[],"[{'id': 135, 'uuid': 'c8d08cbd-d406-4ce0-b1b9-10b236272d30', 'name': 'Ausfallschritt Trizepsdrücken ü. Kopf, ß-Stange', 'description': '', 'creation_date': '2013-05-05', 'language': 1, 'license': 1, 'license_author': 'wger.de'}]",
6,31,f2733700-aa5d-4df7-bc52-1876ab4fb479,"{'id': 8, 'name': 'Arms'}",[],[],"[{'id': 3, 'name': 'Dumbbell'}]","{'id': 1, 'full_name': ' Creative Commons Attribution Share Alike 3', 'short_name': 'CC-BY-SA 3', 'url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en'}",GrosseHund,[],"[{'id': 289, 'uuid': '6add5973-86d0-4543-928a-6bb8b3f34efc', 'name': 'Axe Hold', 'description': '<p>Grab dumbbells and extend arms to side and hold as long as you can</p>', 'creation_date': '2014-11-02', 'language': 2, 'license': 1, 'license_author': 'GrosseHund'}, {'id': 677, 'uuid': '8e9d8968-323d-468c-9174-8cf11a105fad', 'name': 'Axe Hold', 'description': '<p>Nehmen Sie die Hanteln und strecken Sie die Arme zur Seite. Halten Sie sie so lange wie möglich.</p>', 'creation_date': '2020-01-16', 'language': 1, 'license': 2, 'license_author': 'Wunschcoach'}, {'id': 896, 'uuid': 'ae308b2f-ceb2-4517-93b8-3b90f37fad47', 'name': 'Dumbbell Push-Up', 'description': '<p>Normal Push-ups on Dumbbells, this brings a further range of movement</p>', 'creation_date': '2021-06-07', 'language': 1, 'license': 2, 'license_author': 'M123'}, {'id': 940, 'uuid': 'd3e1502a-5075-49be-905e-3c3e302f3e91', 'name': 'Dumbell Wrist Rolls', 'description': '', 'creation_date': '2021-12-29', 'language': 2, 'license': 2, 'license_author': 'neckardt'}]",
7,34,2d806ebb-9aa3-449b-9056-218f5bbbc7f8,"{'id': 9, 'name': 'Legs'}",[],[],[],"{'id': 2, 'full_name': 'Creative Commons Attribution Share Alike 4', 'short_name': 'CC-BY-SA 4', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.en'}",axel,[],"[{'id': 637, 'uuid': '0fd6154d-fb53-4b24-acc0-1c5c05b57ebc', 'name': 'Back Squat', 'description': '<p>Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back, and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position.</p>', 'creation_date': '2019-05-29', 'language': 2, 'license': 2, 'license_author': 'axel'}]",
8,41,a6bced3c-72f5-42a3-9438-5569d46f49fd,"{'id': 10, 'name': 'Abs'}","[{'id': 14, 'name': 'Obliquus externus abdominis', 'is_front': True, 'image_url_main': '/static/images/muscles/main/muscle-14.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-14.svg'}]",[],"[{'id': 1, 'name': 'Barbell'}]","{'id': 2, 'full_name': 'Creative Commons Attribution Share Alike 4', 'short_name': 'CC-BY-SA 4', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.en'}",sevae,[],"[{'id': 343, 'uuid': '1b9dc5bc-790b-4e21-a55d-f8b3115e94c5', 'name': 'Barbell Ab Rollout', 'description': '<p>Place a barbell on the floor at your feet.</p>\n<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>\n<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>\n<p>Roll back up raising your hips and butt as you return to the starting position.</p>', 'creation_date': '2015-07-27', 'language': 2, 'license': 2, 'license_author': 'sevae'}]",
9,43,dae6f6ed-9408-4e62-a59a-1a33f4e8ab36,"{'id': 9, 'name': 'Legs'}","[{'id': 10, 'name': 'Quadriceps femoris', 'is_front': True, 'image_url_main': '/static/images/muscles/main/muscle-10.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-10.svg'}]","[{'id': 8, 'name': 'Gluteus maximus', 'is_front': False, 'image_url_main': '/static/images/muscles/main/muscle-8.svg', 'image_url_secondary': '/static/images/muscles/secondary/muscle-8.svg'}]","[{'id': 1, 'name': 'Barbell'}]","{'id': 2, 'full_name': 'Creative Commons Attribution Share Alike 4', 'short_name': 'CC-BY-SA 4', 'url': 'https://creativecommons.org/licenses/by-sa/4.0/deed.en'}",BePieToday,[],"[{'id': 407, 'uuid': '1215dad0-b7e0-42c6-80d4-112f69acb68a', 'name': 'Barbell Hack Squats', 'description': '<p>Perform leg squats with barbell behind your legs</p>', 'creation_date': '2016-07-30', 'language': 2, 'license': 2, 'license_author': 'BePieToday'}]",12.0
