id,uuid,name,exercise_base,status,description,creation_date,category,muscles,muscles_secondary,equipment,language,license,license_author,variations
345,c788d643-150a-4ac7-97ef-84643c6419bf,2 Handed Kettlebell Swing,9,2,<p>Two Handed Russian Style Kettlebell swing</p>,2015-08-03,10,[],[],[10],2,2,deusinvictus,[]
227,53ca25b3-61d9-4f72-bfdb-492b83484ff5,Arnold Shoulder Press,20,2,"<p>Very common shoulder exercise.</p>
<p> </p>
<p>As shown here: https://www.youtube.com/watch?v=vj2w851ZHRM</p>",2014-03-09,13,[],[],[3],2,1,trzr23,"[227, 329, 229, 190, 119, 123, 152, 155]"
289,6add5973-86d0-4543-928a-6bb8b3f34efc,Axe Hold,31,2,<p>Grab dumbbells and extend arms to side and hold as long as you can</p>,2014-11-02,8,[],[],[3],2,1,GrosseHund,[]
637,0fd6154d-fb53-4b24-acc0-1c5c05b57ebc,Back Squat,34,2,"<p>Place a barbell in a rack just below shoulder-height. Dip under the bar to put it behind the neck across the top of the back, and grip the bar with the hands wider than shoulder-width apart. Lift the chest up and squeeze the shoulder blades together to keep the straight back throughout the entire movement. Stand up to bring the bar off the rack and step backwards, then place the feet so that they are a little wider than shoulder-width apart. Sit back into hips and keep the back straight and the chest up, squatting down so the hips are below the knees. From the bottom of the squat, press feet into the ground and push hips forward to return to the top of the standing position.</p>",2019-05-29,9,[],[],[],2,2,axel,[]
343,1b9dc5bc-790b-4e21-a55d-f8b3115e94c5,Barbell Ab Rollout,41,2,"<p>Place a barbell on the floor at your feet.</p>
<p>Bending at the waist, grip the barbell with a shoulder with overhand grip.</p>
<p>With a slow controlled motion, roll the bar out so that your back is straight.</p>
<p>Roll back up raising your hips and butt as you return to the starting position.</p>",2015-07-27,10,[14],[],[1],2,2,sevae,[]
407,1215dad0-b7e0-42c6-80d4-112f69acb68a,Barbell Hack Squats,43,2,<p>Perform leg squats with barbell behind your legs</p>,2016-07-30,9,[10],[8],[1],2,2,BePieToday,"[407, 342, 300, 191, 650, 389, 355, 160, 185, 111, 795, 387]"
405,ae6a6c23-4616-49b7-a152-49d7461c2b7f,Barbell Lunges,46,2,"<p>Put barbell on the back of your shoulders. Stand upright, then take the first step forward. Step should bring you forward so that your supporting legs knee can touch the floor. Then stand back up and repeat with the other leg.</p>
<p>Remember to keep good posture.</p>",2016-07-30,9,[10],[8],[1],2,2,Mikko Ruohola,"[405, 112, 113]"
344,2cd5e256-20a7-4bc8-a7a8-d62bf8ce00cf,Barbell Triceps Extension,50,2,"<p>Position barbell overhead with narrow overhand grip.</p>
<p>Lower forearm behind upper arm with elbows remaining overhead. Extend forearm overhead. Lower and repeat.</p>",2015-07-27,8,[5],"[2, 4]",[1],2,2,sevae,"[344, 274, 89, 90]"
307,1b8b1657-40fd-4e3b-97b7-1c79b1079f8e,Bear Walk,57,2,"<p>-Rest your weight on your palms and the balls of your feet, not dissimilar to normal pushup position</p>
<p>-Move by stepping with your R palm and L foot, then your L palm and R foot.  Basically, walk like a lumbering bear.</p>
<p>-Move as fast as you can.  Measure your reps/sets in either distance (i.e. 40 yards) or time (i.e. 45 seconds)</p>
<p>-Works your Pecs, Deltoids, Triceps, Traps, Lats, Abs and Lower Back, Hip Flexors, Quads, Glutes and Calves</p>",2015-02-06,11,"[2, 7, 4, 6, 3, 15, 5]","[8, 12, 14, 10, 9]",[7],2,2,nate303303,[]
192,5da6340b-22ec-4c1b-a443-eef2f59f92f0,Bench Press,73,2,"<p>Lay down on a bench, the bar should be directly above your eyes, the knees are somewhat angled and the feet are firmly on the floor. Concentrate, breath deeply and grab the bar more than shoulder wide. Bring it slowly down till it briefly touches your chest at the height of your nipples. Push the bar up.</p>
<p>If you train with a high weight it is advisable to have a <em>spotter</em> that can help you up if you can't lift the weight on your own.</p>
<p>With the width of the grip you can also control which part of the chest is trained more:</p>
<ul>
<li>wide grip: outer chest muscles</li>
<li>narrow grip: inner chest muscles and triceps</li>
</ul>",2013-08-11,11,[4],"[2, 5]","[1, 8]",2,1,sistab2,"[192, 100, 101, 163, 210, 211, 270, 399]"
